language_pair	stage	source_path	release_path	kind	required	status	rows_or_items	bytes	note
en_es	raw_vc_manifest	{EXPRESSIVE_S2ST_ROOT}/es_en/seedvc_outputs_netflix_denoised/manifests/vc_manifest.tsv	{VC_DUB_RELEASE_ROOT}/manifests/en_es/filtering/stage_00_raw_vc_manifest.tsv.gz	tsv	True	written	352947	9318910	
en_es	mms_lid_pass	{EXPRESSIVE_S2ST_ROOT}/es_en/seedvc_outputs_netflix_denoised/mms_lid_preprocessed_filter/lid_pass_manifest.tsv	{VC_DUB_RELEASE_ROOT}/manifests/en_es/filtering/stage_01_mms_lid_pass_manifest.tsv.gz	tsv	True	existing		10023052	kept existing packaged file
en_es	sortformer_single_speaker_pass	{EXPRESSIVE_S2ST_ROOT}/es_en/seedvc_outputs_netflix_denoised/mms_lid_preprocessed_filter/sortformer_pair_filter/sortformer_pair_pass_strict.tsv	{VC_DUB_RELEASE_ROOT}/manifests/en_es/filtering/stage_02_sortformer_single_speaker_pass.tsv.gz	tsv	True	existing		7297440	kept existing packaged file
en_es	scale_matched_quality_selection	{EXPRESSIVE_S2ST_ROOT}/es_en/seedvc_outputs_netflix_denoised/mms_lid_preprocessed_filter/sortformer_pair_filter/utmos_pre_src_pre_tgt/utmos_filtered_manifest.tsv	{VC_DUB_RELEASE_ROOT}/manifests/en_es/filtering/stage_03_utmos_quality_selected_manifest.tsv.gz	tsv	True	existing		4024453	kept existing packaged file
en_es	mms_lid_summary	{EXPRESSIVE_S2ST_ROOT}/es_en/seedvc_outputs_netflix_denoised/mms_lid_preprocessed_filter/lid_pass_manifest_summary.json	{VC_DUB_RELEASE_ROOT}/manifests/en_es/summaries/mms_lid_summary.json	json	False	existing		532	kept existing packaged file
en_es	sortformer_summary	{EXPRESSIVE_S2ST_ROOT}/es_en/seedvc_outputs_netflix_denoised/mms_lid_preprocessed_filter/sortformer_pair_filter/sortformer_pair_summary.json	{VC_DUB_RELEASE_ROOT}/manifests/en_es/summaries/sortformer_summary.json	json	False	existing		1437	kept existing packaged file
en_es	utmos_summary	{EXPRESSIVE_S2ST_ROOT}/es_en/seedvc_outputs_netflix_denoised/mms_lid_preprocessed_filter/sortformer_pair_filter/utmos_pre_src_pre_tgt/utmos_summary.json	{VC_DUB_RELEASE_ROOT}/manifests/en_es/summaries/utmos_summary.json	json	False	existing		2589	kept existing packaged file
en_es	train_split	{EXPRESSIVE_S2ST_ROOT}/es_en/transvip_splits/train.tsv	{VC_DUB_RELEASE_ROOT}/manifests/en_es/splits/train.tsv.gz	tsv	True	existing		6432938	kept existing packaged file
en_es	train_ar_split	{EXPRESSIVE_S2ST_ROOT}/es_en/transvip_splits/train_ar.tsv	{VC_DUB_RELEASE_ROOT}/manifests/en_es/splits/train_ar.tsv.gz	tsv	True	existing		53746744	kept existing packaged file
en_es	train_asr_split	{EXPRESSIVE_S2ST_ROOT}/es_en/transvip_splits/train_asr.tsv	{VC_DUB_RELEASE_ROOT}/manifests/en_es/splits/train_asr.tsv.gz	tsv	False	existing		11767580	kept existing packaged file
en_es	dev_split	{EXPRESSIVE_S2ST_ROOT}/es_en/transvip_splits/dev.tsv	{VC_DUB_RELEASE_ROOT}/manifests/en_es/splits/dev.tsv.gz	tsv	True	existing		837309	kept existing packaged file
en_es	dev_ar_split	{EXPRESSIVE_S2ST_ROOT}/es_en/transvip_splits/dev_ar.tsv	{VC_DUB_RELEASE_ROOT}/manifests/en_es/splits/dev_ar.tsv.gz	tsv	True	existing		6998123	kept existing packaged file
en_es	dev_asr_split	{EXPRESSIVE_S2ST_ROOT}/es_en/transvip_splits/dev_asr.tsv	{VC_DUB_RELEASE_ROOT}/manifests/en_es/splits/dev_asr.tsv.gz	tsv	False	existing		1530374	kept existing packaged file
en_es	test_split	{EXPRESSIVE_S2ST_ROOT}/es_en/transvip_splits/test.tsv	{VC_DUB_RELEASE_ROOT}/manifests/en_es/splits/test.tsv.gz	tsv	True	existing		42625	kept existing packaged file
en_es	test_ar_split	{EXPRESSIVE_S2ST_ROOT}/es_en/transvip_splits/test_ar.tsv	{VC_DUB_RELEASE_ROOT}/manifests/en_es/splits/test_ar.tsv.gz	tsv	True	existing		347829	kept existing packaged file
en_es	test_asr_split	{EXPRESSIVE_S2ST_ROOT}/es_en/transvip_splits/test_asr.tsv	{VC_DUB_RELEASE_ROOT}/manifests/en_es/splits/test_asr.tsv.gz	tsv	False	existing		76229	kept existing packaged file
en_es	all_ar_filtered	{EXPRESSIVE_S2ST_ROOT}/es_en/transvip_splits/all_ar_filtered.tsv	{VC_DUB_RELEASE_ROOT}/manifests/en_es/splits/all_ar_filtered.tsv.gz	tsv	False	missing			missing optional file
